Username,Komen
Nina Herlyanah,"Turut berduka, aset bangsa yg luar biasa."
Agus Siswanto,"Prinsip, keilmuan dan yang kuat. Hebat."
Mamik Maryanti,Suku dayak dan suku makasar ternyata generasinya soal belief sdh moderat....bisa menikah dgn damai
Alex Abdul Khalik,"Dr.Louis,Dr.Terawan,Dr Siti Fadilah Supari...Mereka Yang menentang...Mereka Yang ""Di buang"""
Raisya Salsabila,Klo saya setuju dengan pak indro covid memang ada tapi gak perlu ditakutkan dan saya setuju pernyataan dokter louis soal plandemi tapi mohon maaf saya juga setuju untuk pakai masker sebagai sesuatu kebiasaan
Uy Taunga,"Takdir Manusia adalah Hak Mutlak dlm Rahsia serta Kuasa ALLAH. Betapa banyak suri tauladan hidup yg diberikan Bpk.Maestro Kehidupan Indonesia..multi aneka kisah, penuh multi talenta, multi kemampuan, multi kehebatan, silih berganti menjadi I'tibar penu…"
Marsup Amar,Selamat jalan dokter. Semoga HUSNUL KHOTIMAH. (SKB).
Yuniar Rahayu II,Ya Allah sedih bngt...
Agles Budi,"Turut berduka cita, dan angkat topi buat seorang martir. A"
Susarman Mitro Joyo Waseso,Covid antara ada dan tiada
Naufal Ramzy,Hebat Sang Suaminya itu ! Saya salut padanya.
Achmad Kusaeri,RIP...
Khusnul Maad,...
Agus Fathony,"Berarti korban covid secara tidak langsung, semoga almarhumah diampuni segala dosa dan diterima semua amal baiknya, Aamiin"
Nismara Kopetsu,"Selamat Jalan Dokter Cantik & Baik Hati .... aq termasuk salah satu orang yg ""tercerahkan"" dengan pemahamanmu..."
Li Ashabil Yamin,Innalillahi wa innailaihi roji'un semoga almarhumah dr.Lois husnul khotimah aamiin......
Juhana Kosim,"Sembuh dgn obat hasil temuannya, sayang resepnya ga diketahui masyarakat."
Ilham Kholis,Dokter anti mainstream
Maria Santoso,Jd tertarik dgn pnurunan bb.
Mas Soetikno,Tidak mencoba alternatif kayu Bajakah kah?
Mimin Hariyanto,AlFateha u beliu
Irwan Doank,Turut berduka cita.
Deddy Ardhie Nugraha,RIP dr Lois ...
Samsudin Jati Waseso,Semoga Husnul Khotimah....
Jatmiko Priyo,Turut berbela sungkawa yg sedalam dalamnya
Heri Widodo,Innalillahi wa innailaihi roji'un.
Kiswati,Turut berduka cita..smoga diterima semua amal baiknya...aamiin
Narto Ahmad Sang Pengembara,Selamat jalan dr. LOIS
Pamadib,Liberal..?
Yuyun Ilamiyah,RIP
Hanto L Sugiarto,RIP
Didik Indriyanto,Nyimak abah sehat selalu
Ngurah Alit Jambe,Slamat jalan bu
Arrofi Padiana,Dokter pejuang
Junaidi,Selamat jalan wahai pejuang..
Theresia Dayu Murwani,RIP
Harry Pjm,Turut prihatin
Agus Budi Sulthoni,"Di negri ini ...yg beda , wajib dibully. Apalagi urusan politik..."
Inni Rahayu,"Kenapa diakhir hayatnya suaminya tidak bertanggung jawab memakamkannya secara islam,kok malah diserahkan kepihak keluarganya dr lois"
Tzu Ghe Eng,"Mau tanya saja, apakah abah Dahlan percaya dengan dokter Lois soal  covidnya yg tanpa masker itu ?"
Rosika Ezria Haviva,Kaya Aku dlu bu.. Hamil si tth... Pdhal bayi usik mereun lah.. Dugi 3 Kali komo aku mh gk jadi lahiran.. Dugi nginep semalaman Di bidan.. Tos weh uih deui ka acan pembukaan....ari Aku Dugi hawatos di neng lahiran acan Dri smlam..
Rika Handayani,Ai pertama MH sok rada lami .....lg cari jalan si Dde na  sing sabar...wios telat hpl GE....yakin .....tth GE Komo hamil nu ie MH  semoga sehat slmt smpe lahiran
Iyoll Herdiansyah,Semangaatt neng tari
Rita Mildha Kittyy Cipunagara,Sehat2 nengg slamet 2*na Zikir trus nk jgn lepas zikirr minta ke Allah yahh.. Amiinn ya Rabb..
Thye Bunda'na Wisnu Rafif,Adatna pertama teh
Shafirah Muna Azizah,Sami kos rima tth anak pertama jadi can aya rarasaan   tos mules th majar th rek lahiraan padahal kintraksi palsu numbe 1 wae . Rima ge sampe 3hariaan th ngarasakn mules . Semangatttttt semangattttt .
Ayyu Ramadhani,Semangat tari kalo anak pertama gtu tth ayu oge
Nafisca Fika Ramadhan,Sehat de sing langsar lungsur selamet 22 na Amin
Inttan Sunikka,Bapuk Oge sarua teh kr hamil si Milka kos Kitu malah lewat hpl seminggu ..
Fika Kurnia Fl,jadi Acan lahiran in
Vhie Noviandhra,Ayna tos lahiran can buu
Nina Silvia,Ooh eta ju lahirran neng atuh pegel neng lmi teuing di rumah sakit tpi teu nnaon lh nu penting mh dd na sehat pnjng umur na sareng mmh na amiiiin ya allah hu ya robal alamiiiin
Alula Hasna,Semngt bebep tari
Reni Ava Matondang,Ari sayang qqqqq
Reni Ava Matondang,
Lia Maya,Cantik2 manjaaa ya tik
Azreini Tanjung,
Monty Carlo Sihaloho,Kok nandak duet martiktok kamano datang kak?
Darman Sanjaya,Dulu tmpt ku jemput
Rhj Tanjung,makacii info nya Buk bidan yg cuuaanntiikk....tetanggaku
Nahriwan,Maunyo # promosi tempat kerja sekarang... bukan dulu
Vera Nianta Tarigan,
Devi Masjida,
Rini Pasaribu,Mno tiktok
Ossin Sibagariang,Mantap
Maisarah,Ala bisa cabut gigi  Ari?
Sukmadiarti Perangin-angin,
Uchie,"Ndak mintak tandatangan do,,kami minta transferan ajo,"
Siti Hapsah,Yg tua2 ya bu..
Lenni Siska Lubis,Raso tambah langsing d mama   ko
Syahriati Sihotang,Ary pegawai teladan
Mutiara Aini,
Phida Imuet,
Elly S,Bersihkan karang gigi bisa Ari?
Nurjannah Situmorang,Berlaku anyo bpjs kk k dr.gigi nandk membersihkan karang gigi
Anggra P Ritonga,Gini cantik?
Hotnida Arios,
Multajimah Bugis Bugis,Kolo ambo nandak baselvi anyo Basamo buk bidan Ariyanti bisa tidak?
Sri Rezki Simamora Riji,
Sahrul MArbun,Gratis tanda tangan nyo kn ka..tpi ke berobat baru byr
Sriwahyuni Marpaung,
Fauzi Azmi,Barisuk la mandaftar ambo ari mak dicabut dulu gigi yg bakarak ko
Dewisma Sinaga,Sudah ada dokter gigi ya..mantaplah soalnya dah pada banyak juga nanya ada ngk dokter gigi di barus...ala banyak sakit gigi di barus ko
Hayani Inayah Samosir Pakpahan,
Tika Smora,Bah udah ada dokter gigi ya..
Muhammad Kiano Ar-rois,
Haykal Mikail,
Agustroy,Kak Ari mahal cabut gigi
Nova Maria,Jd artis kini ko ri yo..
Julia Okvianti,"Jd yg sehat nda bisa dtg,"
Elys Ariyanti Farrel'mom,"Kurang itu captionnya say... Staff nya juga lucu, gemesin, buat pasien2 pasien terhibur.. Jd cepat deh sembuhnya.."
Oke May,Serios anyo mnk ko ibu2 BDN.krno LG dak sakkik gigi amboko kini.kok indak tiap hrko sakkik.bia bo cabutkan
Lina Yanti S,Mantap ala Ado dokter giginya. Dak susah jauh jauh awak lai Pai untuk cabut gigi
Evi Mulyani Buano Rambe,Manja ama mengkek bukannya sama ya rie
Mamanya Ardila,Manja agak mengkek
Yuhana,
Oke May,
Aina Sihombing,Mirip kasikko dokter gigitu?
Rantodairisitumorang,Yang mana satu anak mu rie ?
Linda Togatorop,Ok...dogi Nye cewek apa cowok..heheee
Andre,Raso tobok bana yg bafto tu
Halimah Nurillah Sormin,
Fery Dan Fauzan,Waw.......
Rulia Stt,walah..di kirain malah suruh mnum air hangat kalo lagi skit lambung.
Adzkia Hanifa,"Syafakillah, Kanda."
Ilda Adriani,Jadi g boleh minum air hangat? Air biasa aja ya?
Hesty Soewito,istrinya pak dokter itu terima pesanan kue enak-enak lo mbak
Syaidah Nurjannah El-Maholtra,Obat lambung juga bs di bantu dengan minum jamu pahit/kunyit untuk antiseptik atau menambal lapisan lambung yg tipis
Helsyeria Melinda Masrie,syafakillah bu
Via Hayu Safitri,"Masya Allah.. Dapat pelajaran dari postingannya umi, ternyata ga boleh air hangat ya.. Saya sering Kambuh asam lambung. Selalu infus kalau udah kambuh,, rasanya gak berdaya... Obat yg dikasih dari dokter juga sama itu dengan punya umi"
Asmawati Asma,semoga segera diberikan kesembuhan ya tum
Irma Ummi Hazim,Semoga diberi kesembuhan   ..
Yuyu Greentea Nelayan,"Berarti sakit lambung gak boleh minum Air hangat,, gagal fokus baca,,, gak boleh minum kopi, soda....."
Bunda Zaskia,Sudah pulang tum semoga lekas sembuh ya..
Setty Wahyuningsih,Keren dokternya kk.. Jarang dokter yg sprti itu
Marina Saputri,Ibuprofen : pereda nyeri
Siti Nurjannah Al-Bangkalisi,Syafahullah syifaan ajlan kak
Firda Ummu Hisyam Harun,Kalau di Aulia Hospital kemaren saya bawa orangtua berobat dengan dr. Izwar beliau juga kerap memberi nasihat menambah iman dan imun dan membuat diri ini merenung.
Setty Wahyuningsih,Syafakillah kk..
Ash'habil Jannatil Atqo,Dokter nya dimana ni kk praktek nya ??
Ida Mutmainnatul Maulida,Semoga segara sembuh mba Makhtum
Elfia Rahmi,Syafakillah  ....
